Mês,Escola,CodEscola,Nome Funcionario,CodFuncionario,Categoria,CodDisciplina,Disciplina,inicio do periodo,final do periodo,DiasTrabalhados,CHSuprimento,CHDiaria,CHPeriodo
Março,ESCOLA G,ABC7,Ailton Nakashima,161,REGENCIA,2385,GEOGRAFIA I,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA G,ABC7,Ailton Nakashima,161,REGENCIA,2385,GEOGRAFIA I,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA G,ABC7,Ailton Nakashima,161,REGENCIA,401,GEOGRAFIA,45691,45716,26,8,"1,142857","29,714282"
Março,ESCOLA G,ABC7,Ailton Nakashima,161,REGENCIA,401,GEOGRAFIA,45717,45747,31,8,"1,142857","35,42857"
Abril,ESCOLA G,ABC7,Ailton Nakashima,161,REGENCIA,401,GEOGRAFIA,45748,45777,30,8,"1,142857","34,28571"
Fevereiro,ESCOLA G,ABC7,Ailton Nakashima,161,REGENCIA,501,HISTORIA,45691,45716,26,10,"1,428571","37,142846"
Março,ESCOLA G,ABC7,Ailton Nakashima,161,REGENCIA,501,HISTORIA,45717,45747,31,10,"1,428571","44,2857"
Abril,ESCOLA G,ABC7,Ailton Nakashima,161,REGENCIA,501,HISTORIA,45748,45777,30,10,"1,428571","42,85713"
Fevereiro,ESCOLA E,ABC5,Ailton Ramos,213,REGENCIA,401,GEOGRAFIA,45691,45716,26,9,"1,285714","33,428564"
Março,ESCOLA E,ABC5,Ailton Ramos,213,REGENCIA,401,GEOGRAFIA,45717,45747,31,9,"1,285714","39,85713"
Abril,ESCOLA E,ABC5,Ailton Ramos,213,REGENCIA,401,GEOGRAFIA,45762,45762,1,18,"2,571428","2,571428"
Abril,ESCOLA E,ABC5,Ailton Ramos,213,REGENCIA,401,GEOGRAFIA,45763,45777,15,9,"1,285714","19,28571"
Abril,ESCOLA E,ABC5,Ailton Ramos,213,REGENCIA,401,GEOGRAFIA,45748,45748,1,9,"1,285714","1,285714"
Fevereiro,ESCOLA D ,ABC4,Alessandra Barros,143,REGENCIA,150,LINGUA PORTUGUESA II,45691,45716,26,9,"1,285714","33,428564"
Março,ESCOLA D ,ABC4,Alessandra Barros,143,REGENCIA,150,LINGUA PORTUGUESA II,45717,45747,31,9,"1,285714","39,85713"
Abril,ESCOLA D ,ABC4,Alessandra Barros,143,REGENCIA,150,LINGUA PORTUGUESA II,45748,45777,30,9,"1,285714","38,57142"
Fevereiro,ESCOLA D ,ABC4,Alessandra Barros,143,REGENCIA,5039,LINGUA PORTUGUESA I,45691,45716,26,9,"1,285714","33,428564"
Março,ESCOLA D ,ABC4,Alessandra Barros,143,REGENCIA,5039,LINGUA PORTUGUESA I,45717,45747,31,9,"1,285714","39,85713"
Abril,ESCOLA D ,ABC4,Alessandra Barros,143,REGENCIA,5039,LINGUA PORTUGUESA I,45748,45777,30,9,"1,285714","38,57142"
Fevereiro,ESCOLA D ,ABC4,Alessandra Bezerra,144,REGENCIA,1002,BIOLOGIA II,45691,45716,26,3,"0,428571","11,142846"
Março,ESCOLA D ,ABC4,Alessandra Bezerra,144,REGENCIA,1002,BIOLOGIA II,45717,45747,31,3,"0,428571","13,2857"
